Word,Origin,Definition (rough),Semantic Cluster,N,V,Adj,Adv,Interject
guapo,es,handsome,8,,,c,,
bella,es,beautiful,8,,,c,,
chica,es,girl,8,c,,,,
chico,es,boy,8,c,,,,
guérilla,es,guerrilla war,6,c,,,,
guitare,es,guitar,4,c,,,,
hamac,est,hammock,4,c,,,,
igo,es,end of amigo,8,c,,,,
machette,es,machete,6,c,,,,
macho,es,very masculine,1,c,,,,
manille,es,manille card game,9,c,,,,
marron,es,wild/crooked/brown,9,c,,c,,
maté,esq,NOUN south american tea,3,c,,,,
mater,es,VERB to check out/also to chekcmate,9,,c,,,
mezcal,esa,mescal,3,c,,,,
mirador,es,viewpoint/watchtower,6,c,,,,
mostique,es,mosquito,9,c,,,,
mulâtre,es,mulatto,1,c,,,,
nègre,es,negro (dated and offensive),1,c,,c,,
négro,es,the n word,1,c,,,,
palabre,es,discussion,9,c,,,,
pastille,es,pastilles (medicinal/candy),3,c,,,,
patate,est,(sweet) potato but actually a lot of things,3,c,,,,
peccadille,es,small sin/error,9,c,,,,
pépite,es,nugget/gem/treasure,4,c,,,,
pirogue,es,skinny canoe,4,c,,,,
platine,es,platinum,4,c,,,,
puta,es,bitch/whore/slut,7,c,,,,
raton,es,rat/racoon/slur for algerian/arab,1,c,,,,
résille,es,hairnet,4,c,,,,
rumba,es,rumba (dance),9,c,,,,
savane,est,savanna,5,c,,,,
sieste,es,nap/siesta,9,c,,,,
tabac,es,tabacco,3,c,,c,,
tanga,es,thong/g-string,7,c,,,,
tequila,es,tequila (drink),3,c,,,,
toréador,es,toreador (bullfighting),1,c,,,,
vanille,es,vanilla (also meaning normal/undaring),8,c,,,,
ale,en,ale,3,c,,,,
bad,en,bad plus connotations,8,,,c,,
girl,en,girl plus connotations,8,c,,,,
boy,en,boy plus connotations,8,c,,,,
kiffe,ma,have fun (verb inflection),8,,c,,,
dude,en,dude,8,c,,,,
best,en,best,9,c,,,c,
book,en,book but also to schedule,4,c,,,,
boom,en,boom,8,c,,,,c
smurf,en,breakdance,10,c,c,,,
break,en,break,9,c,,,,
chips,en,chips,3,c,,,,
clown,en,clown or person acting funny,2,c,,,,
dance,en,dance,10,c,,,,
party,en,party,9,c,,,,
jersey,en,jersey,4,c,,,,
muerte,es,death,6,c,,,,
dahak,ar,to laugh,9,,c,,,
yeah,en,yeah,8,,,,,c
slang,en,slang,9,c,,,,
game,en,game,9,c,,,,
motherfuck,en,motherfucker,8,c,,,,c
coke,en,cocaine,3,c,,,,
rappeur,en,rapper,10,c,,,,
hey,en,hey,8,,,,,c
khey,ar,brother/bro/dude,8,c,,,,
hip-hop,ve,hip-hop,10,c,,,,
coochie,en,vagina (slang),7,c,,,,
ex,en,former (often referring to past relationships),9,c,,c,,
night,en,night,9,c,,,,
bag,en,bag/money/stuff with drugs,4,c,,,,
hippie,en,hippie,1,c,,c,,
high,en,high physically or on drugs,3,,,c,,
hess,ar,difficult situation,6,c,,,,
baby,en,baby (usually affectionate),8,c,,,,
boof,en,"drugs, sometimes sex",3,c,,,,
down bad,ve,"bad situation, attracted w/o dignity",8,,,c,,
doudou,ant,sweetheart,8,c,,,,
latex,en,material but usually in context condom,7,c,,,,
rajel,ar,men (macho),1,c,,,,
hi,en,hello (casual),8,,,,,c
check,en,check (money or checking for stuff),9,c,,,,
schnek,de,pussy/slut,7,c,,,,
poucave,rm,snitch,6,c,c,,,
lady,en,lady,8,c,,,,
ladies,en,ladies,8,c,,,,
belek,ar,watch out,8,,,,,c
film,en,film,4,c,,,,
gun,en,gun,6,c,,,,
gas,en,gas/drugs/awesome,3,c,,,,
gasolina,es,gas/cum,7,c,,,,
cheese,en,money/cheese (food),4,c,,,,
slay,ve,stunning,8,,c,,,c
ramdam,ar,fuss/racket,9,c,,,,
niquer,aa,to fuck/deceive,7,,c,,,
teh,brb,joint,3,c,,,,
zob,ar,penis,7,c,,,,
glaoui,ma,testicle,7,c,,,,
miskine,ar,poor thing,8,c,,,,
kebab,tr,kebab,3,c,,,,
hlel,ar,someone good/virtuous,9,c,,c,,
chouf,ar,look (draw attention),6,c,,,,
dojo,jp,dojo,5,c,,,,
emoji,jp,emoji,4,c,,,,
geisha,jp,geisha,2,c,,,,
judoka,jp,judoka,2,c,,,,
kamikaze,jp,suicide bombing,6,c,,,,
karaoké,jp,karaoke,10,c,,,,
karaté,jp,karate,6,c,,,,
katana,jp,japanese sword,6,c,,,,
manga,jp,manga,4,c,,,,
saké,jp,japanese rice liqour,3,c,,,,
samouraï,jp,samurai,6,c,,,,
sensei,jp,martial arts instructor,2,c,,,,
tsunami,jp,tsunami,9,c,,,,
yakuza,jp,yakuza,6,c,,,,
yen,jp,yen (currency),4,c,,,,
chop chop,cnc,hurry up,8,,,,c,c
kung fu,cnc,kung fu,6,c,,,,
nunchuck,cnh,nunchuck,6,c,,,,
shaolin,cnm,shaolin (monk),1,c,,,,
sifu,cnc,master,2,c,,,,
thé,cnh,tea,3,c,,,,
wok,cnc,wok,3,c,,,,
wock,ve,lean (drink),3,c,,,,
yin,cnm,feminine/dark. Used with yang,9,c,,,,
yang,cnm,masculine/bright. Used with yin,9,c,,,,
zen,jp,zen,9,c,,c,,
judo,jp,judo,6,c,,,,
ninja,jp,ninja,6,c,,,,
cosmonaute,ru,cosmonaut,1,c,,,,
défaitiste,ru,defeatist,9,c,,c,,
désinformation,ru,disinformation,9,c,,,,
icône,ru,icon,9,c,,,,
tsar,ru,czar (russian nobility),1,c,,,,
vodka,ru,vodka,3,c,,,,
bars,ve,rapper's lyrics (good connotation),10,c,,,,
gadji,rm,(young) female non-romani,1,c,,,,
gadjo,rm,man non-romani,1,c,,,,
cabeza,es,head,9,c,,,,
dasvidania,ru,goodbye,8,,,,,c
gulag,ru,gulag (soviet labor camps),6,c,,,,
perestroïka,ru,perestroika (soviet economic reform),9,c,,,,
cravate,sc,necktie/wrestling move,4,c,,,,
nettoyage ethnique,sc,ethnic cleansing,6,c,,,,
cravache,pl,quirt/whip,6,c,,,,
calèche,slv,carriage,4,c,,,,
taekwondo,kr,taekwondo,6,c,,,,
soju,kr,korean distilled alcoholic bev,3,c,,,,
bazar,hin,bazaar/jumble,5,c,,,,
maharadja,hin,maharaja,1,c,,,,
avatar,hs,avatar,9,c,,,,
couscous,brb,couscous,3,c,,,,
sofa,ar,sofa,4,c,,,,
casher,hb,kosher,9,,,c,,
kippa,hb,kippah/scullcap,4,c,,,,
rabbin,hb,rabbi,2,c,,,,
shabbat,hb,sabbath (jewish),9,c,,,,
cash,en,cash/directly,4,c,,,c,
ouragan,tno,hurricane,9,c,,,,
bikini,msh,bikini,4,c,,,,
bambou,pmd,bamboo,4,c,,,,
mangue,pmd,mango,3,c,,,,
boug,ant,chap/guy,8,c,,,,
bail,htc,thing/stuff/affair,9,c,,,,
zombie,htc,zombie,9,c,,c,,
reggae,jmc,reggae,10,c,,,,
mbila,ktb,police/cop,2,c,,,,
béké,snt,person of white/french descent from the french antilles,1,c,,c,,
catamaran,tml,catamaran,4,c,,,,
curry,tml,curry,3,c,,,,
anorak,gld,anorak (heavy weatherproof jacket),4,c,,,,
igloo,int,igloo,4,c,,,,
kayak,int,kayak,4,c,,,,
whisky,eni,whiskey,3,c,,,,
clan,ens,clan,1,c,,,,
loch,ens,loch,5,c,,,,
troll,en,"internet troll usually, sometimes mythical being",9,c,,,,
choucroute,ald,sauerkraut,3,c,,,,
cible,ald,target,4,c,,,,
képi,ald,kepi (cap with flat circular top),4,c,,,,
firme,en,company,9,c,,,,
halte,de,halt,8,c,c,,,c
nazi,de,nazi,1,c,,c,,
schnaps,de,schnapps,3,c,,,,
schnock,yd,fool/idiot,8,c,,c,,
apartheid,afk,apartheid,6,c,,,,
gaz,nl,gas,8,c,,,,
affaler,nl,to slump/slouch,9,,c,,,
blague,nl,joke,9,c,c,,,
cancrelat,nl,cockroach,9,c,,,,
gruger,nl,to dupe/devour,9,,c,,,
iceberg,en,iceberg,9,c,,,,
kermesse,nl,kirmess/fair,5,c,,,,
ring,en,ring (usually in boxing sense),5,c,,,,
trouille,nl,fear,9,c,,,,
vrac,nl,"bulk (as in ""in bulk"")",8,c,,,,
yacht,en,yacht,4,c,,,,
gyro,gr,gyro,3,c,,,,
alpha,gr,"alpha, greek a (connotation of masculine leader)",8,c,,,,
beta,gr,beta (connotation of a masculine follower),8,c,,,,
delta,gr,delta,9,c,,,,
kappa,gr,kappa,9,c,,,,
iota,gr,iota,9,c,,,,
lambda,gr,lambda,9,c,,,,
sigma,gr,"sigma (connotation of ""lone wolf"" masculinity personality)",8,c,,,,
omega,gr,"omega, greek z",8,c,,,,
mollah,ar,learned muslim scholar,1,c,,,,
maquis,crs,thicket/connotations with guerilla,6,c,,,,
buongiorno,it,good day,8,,,,,c
arrivederci,it,see you later,8,,,,,c
ballerine,it,ballerina,2,c,,,,
ballet,it,ballet,10,c,,,,
bambin,it,toddler,1,c,,,,
bene,it,good,8,,,,c,
bravo,it,bravo,8,c,,,,c
caprice,it,whim/wish,9,c,,,,
cartel,it,cartel,6,c,,,,
mic,en,microphone,10,c,,,,
ciao,it,hello/goodbye,8,,,,,c
cappuccino,it,cappuccino,3,c,,,,
ganache,it,fool/face/jaw/cooking sauce,9,c,,,,
ghetto,it,ghetto,5,c,,c,,
grotte,it,cave,5,c,,,,
luciole,it,firefly,9,c,,,,
mascara,it,mascara,4,c,,,,
paparazzi,it,paparazzi,2,c,,,,
parmesan,it,parmesan (cheese),3,c,,c,,
pavane,it,dance (courtly),10,c,,,,
piano,it,soft volume/piano instrument,10,c,,c,,
pizza,it,pizza,3,c,,,,
mozzarella,it,mozzarella,3,c,,,,
presto,it,quickly,8,,,,c,
risotto,it,risotto,3,c,,,,
salto,it,flip/somersault,9,c,,,,
mafia,it,mafia,6,c,,,,
famiglia,it,family/household (often in mafia context),6,c,,,,
everyday,en,everyday,9,,,c,c,
gains,en,"increase in muscle mass, bodybuilding (slang)",9,c,,,,
sirocco,it,south east wind,9,c,,,,
tarot,it,tarot,4,c,,,,
trio,it,trio,9,c,,,,
vendetta,it,vendetta,6,c,,,,
galère,ctn,tough task/unpleasant situation,8,c,c,c,,
baraque,vcn,shack,5,c,,,,
everybody,en,everybody,9,c,,,,
dead,en,dead,6,,c,c,,
everything,en,everything,9,c,,,,
muerte,es,death,6,c,,,,
dog,en,dog,8,c,,,,
pistache,vnt,pistachio,3,c,,,,
capoeira,pt,capoeira,10,c,,,,
cobaye,pt,guinea pig,9,c,,,,
cobra,pt,cobra,6,c,,,,
fétiche,pt,fetish,7,c,,c,,
griot,pt,african storyteller/or storyteller who tells stories to gullible people,2,c,,,,
macaque,pt,macaque (monkeys)/slang for ugly person,8,c,,,,
mousson,pt,monsoon,9,c,,,,
samba,pt,samba (dance),10,c,,,,
sambo,ru,russian combat sport,6,c,,,,
zèbre,pt,"zebra, guy/chap",9,c,c,,,
romanichel,rm,gypsy (derogatory now),1,c,,c,,
boubou,wlf,african robe,4,c,,,,
bougnoule,wlf,wog/raghead (slur for person of north african descent),1,c,,,,
toubab,wlf,white person,1,c,,,,
makila,lga,blood,6,c,,,,
nganda,lga,bar (congo rdc),4,c,,,,
yamakasi,lga,free runner,2,c,,,,
safari,swh,safari,9,c,,,,
impala,zl,impala (antelope),9,c,,,,
djandjou,bb,woman who lets herself be seduced for material gain,7,c,,,,
koala,dha,koala,9,c,,,,
puma,qch,puma,9,c,,,,
dalaï-lama,tbt,dalai lama (buddhism),2,c,,,,
mah-jong,cnc,mahjong,4,c,,,,
yaourt,tr,yogurt,3,c,,,,
cocktail molotov,fn,molotov cocktail,6,c,,,,
paprika,mg,paprika (spice),3,c,,,,
silhouette,bsq,silhouette,9,c,c,,,
facetime,en,facetime (electronic communication with audio and video),4,c,c,,,
cowboy,en,cowboy,2,c,,,,
