Word,Origin,Definition (rough),Semantic Cluster,N,V,Adj,Adv,Interject
bougie,aa,candle,4,c,,,,
cafard,ar,cockroach,"6,9",c,,,,
cafards,ar,cafard inf,"6,9",c,,,,
caïd,ar,chief of a mob/tiger,6,c,,,,
caïds,ar,caïd inf,6,c,,,,
calife,ar,caliph,9,c,,,,
imam,ar,prayer leader in islam,2,c,,,,
carmin,ar,carmine,9,c,,c,,
crari,rm,you're pretending,8,c,,,,c
chouïa,ar,a little,8,,,,c,
flouze,ar,money,4,c,,,,
flouz,ar,flouze spelling,4,c,,,,
hammam,ar,bathroom,5,c,,,,
jdid,ma,new,9,,,c,,
oued,ar,wadi (north african valley),5,c,,,,
harem,ar,sacred area,5,c,,,,
henné,ar,henna,9,c,,,,
khenez,brb,bad quality,9,c,,,,
laiton,ar,brass,4,c,,,,
lascar,pr,soldier,6,c,,,,
lascars,pr,lascar inf,6,c,,,,
maboule,ar,crazy/mad,8,,,c,,
marabout,ar,marabout (north african),1,c,,,,
marabouté,ar,marabout inf,"1,9",,c,c,,
matraque,ar,truncheon,6,c,,,,
récif,ar,reef,5,c,,,,
nouba,ar,party,9,c,,,,
salamalec,ar,short for salam alaikum,8,,,,,c
smala,ar,posse/family/entourage,6,c,,,,
souk,ar,mess/chaos or market dep context,6,c,,,,
kiffer,ma,to like/smoke,"3,8",,c,,,
allah,ar,god,8,c,,,,
bismillah,ar,in the name of god,8,,,,,c
wallah,ar,I swear to god,8,,,,,c
mashallah,ar,what god has willled!,8,,,,,c
mash'allah,ar,mashallah spelling,8,,,,,c
inshallah,ar,god willing,8,,,,,c
insh’allah,ar,inshallah spelling,8,,,,,c
inch’allah,ar,inshallah spelling,8,,,,,c
hamdoullah,ar,"(short for alhamdulillah), thank god",8,,,,,c
hamdoulah,ar,hamdoullah spelling,8,,,,,c
haram,ar,prohibited/forbidden,9,,,c,,
hagra,ar,"humiliation, wicked, gratutious action","6,8",c,,,,
habibi,ar,my dear,8,c,,,,c
habiba,ar,habibi inf,8,c,,,,c
salam,ar,hello/peace,8,,,,,c
khalass,ar,to kill,6,,c,,,c
khaliss,ar,khalass spelling,6,,c,,,c
khalis,ar,khalass spelling,6,,c,,,c
jihad,ar,holy war (islam),6,c,,,,
bitch-ass,ve,"weak, cowardly",8,c,,c,,c
hustle,en,"working hard, drugs, sex, money","4,8",c,c,,,
hustler,en,hustle inf,"2,4,8",c,c,,,
hustlers,en,hustle inf,"2,4,8",c,,,,
crash,en,crash,9,c,c,c,,c
kush,ve,high quality marijuana (borrowed from Hindu Kush Persian),3,c,,,,
marijuana,mxs,marijuana,3,c,,,,
overdose,en,overdose,3,c,c,,,
og,ve,original gangster,6,c,,,,
gangster,en,gangster,6,c,,,,
gangsters,en,gangster inf,6,c,,,,
gangsta,ve,gangster spelling,6,c,,,,
lean,ve,(in specific context) drug with codeine-laced cough syrup,3,c,,,,
rap,en,genre of music of these songs,10,c,c,,,
funk,en,"genre of music, rhythmic",10,c,,,,
funky,en,"funk inf, weird/crazy","8,10",,,c,,
groove,en,music synergy/fixed routine,"8,10",c,,,,
hit,en,"pop song, success, sex, murder","6,7,8,10",c,c,,,
underground,en,not mainstream,10,c,,c,,
hip hop,en,same genre of music,10,c,,,,
trip,en,on drugs/going somewhere,"3,9",c,,,,
beat,en,beat,10,c,,,,
beats,en,beat inf,10,c,,,,
beatz,ve,beat inf,10,c,,,,
nada,es,nothing,8,c,,,,
ragga,jmc,raggamuffin -- reggae + dancehall,10,c,,,,
flow,en,ability to skillfully rap along beat,10,c,,,,
sizzurp,ve,other term for lean,3,c,,,,
altesse,it,highness,1,c,,,,
amor,es,love,9,c,,,,
booty,en,butt,7,c,,,,
baila,es,dance (imperative verb),10,,,,,
corazón,es,heart,8,c,,,,
corazon,es,corazón spelling,8,c,,,,
hombre,es,man,1,c,,,,
mundo,es,world,5,c,,,,
noche,es,night,9,c,,,,
vida,es,life,9,c,,,,
amore,it,love,9,c,,,,
mamma mia,it,my mother!,8,,,,,c
liberta,it,liberty (spelled w/o accent),9,c,,,,
appartement,es,apartment,5,c,,,,
appartements,es,appartement inf,5,c,,,,
armada,es,fleet of warships,6,c,,,,
arobase,es,"first weight unit, now @ sign",9,c,,,,
avocat,es,lawyer,2,c,,,,
avocats,es,avocat inf,2,c,,,,
basta,it,that's it,8,,,,,c
cacahuète,esa,peanut,3,c,,,,
master,en,someone good at smth/in charge of someone else,"1,6,8",c,,,,
masta,ve,master spelling,"1,6,8",c,,,,
pasta,it,pasta,3,c,,,,
cacao,esa,cocoa,3,c,,,,
rhum,en,rum,3,c,,,,
caïman,es,alligator (or similar to this),9,c,,,,
camarade,es,buddy/comrade,"1,8",c,,,,
camarades,es,camarade inf,"1,8",c,,,,
canari,es,bird/resident from canary islands,9,c,,,,
